image_id,image_path,device_type,field_name,field_label,manual_value,quality_tags
ENG-0005,data/images/ENG-0005.jpg,桥吊,work_area,作业区域,A-28,complex_bg
ENG-0005,data/images/ENG-0005.jpg,桥吊,equipment_status,设备状态,正常,complex_bg
ENG-0005,data/images/ENG-0005.jpg,桥吊,date,日期,2026-06-06,complex_bg
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,qc_id,桥吊编号,QC-13,compression
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-09,compression
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,yard_gate,堆场口,YARD-E2,compression
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,work_area,作业区域,D-21,compression
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,equipment_status,设备状态,维修中,compression
ENG-0006,data/images/ENG-0006.jpg,混合作业牌,date,日期,2026-06-07,compression
ENG-0007,data/images/ENG-0007.jpg,堆场口,qc_id,桥吊编号,QC-27,occlusion
ENG-0007,data/images/ENG-0007.jpg,堆场口,rtg_id,龙门吊编号,RTG-16,occlusion
ENG-0007,data/images/ENG-0007.jpg,堆场口,yard_gate,堆场口,YARD-F3,occlusion
ENG-0007,data/images/ENG-0007.jpg,堆场口,work_area,作业区域,A-07,occlusion
ENG-0007,data/images/ENG-0007.jpg,堆场口,equipment_status,设备状态,正常,occlusion
ENG-0007,data/images/ENG-0007.jpg,堆场口,date,日期,2026-06-08,occlusion
ENG-0008,data/images/ENG-0008.jpg,龙门吊,qc_id,桥吊编号,QC-32,low_light|tilt
ENG-0008,data/images/ENG-0008.jpg,龙门吊,rtg_id,龙门吊编号,RTG-23,low_light|tilt
ENG-0008,data/images/ENG-0008.jpg,龙门吊,yard_gate,堆场口,YARD-A8,low_light|tilt
ENG-0008,data/images/ENG-0008.jpg,龙门吊,work_area,作业区域,C-28,low_light|tilt
ENG-0008,data/images/ENG-0008.jpg,龙门吊,equipment_status,设备状态,待检,low_light|tilt
ENG-0008,data/images/ENG-0008.jpg,龙门吊,date,日期,2026-06-09,low_light|tilt
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,qc_id,桥吊编号,QC-03,low_light|complex_bg
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-10,low_light|complex_bg
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,yard_gate,堆场口,YARD-G1,low_light|complex_bg
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,work_area,作业区域,A-29,low_light|complex_bg
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,equipment_status,设备状态,待检,low_light|complex_bg
ENG-0009,data/images/ENG-0009.jpg,混合作业牌,date,日期,2026-06-10,low_light|complex_bg
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,qc_id,桥吊编号,QC-08,compression
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-10,compression
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,yard_gate,堆场口,YARD-C4,compression
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,work_area,作业区域,B-05,compression
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,equipment_status,设备状态,正常,compression
ENG-0010,data/images/ENG-0010.jpg,混合作业牌,date,日期,2026-06-11,compression
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,qc_id,桥吊编号,QC-12,blur
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-07,blur
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,yard_gate,堆场口,YARD-B6,blur
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,work_area,作业区域,A-11,blur
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,equipment_status,设备状态,正常,blur
ENG-0011,data/images/ENG-0011.jpg,混合作业牌,date,日期,2026-06-12,blur
ENG-0012,data/images/ENG-0012.jpg,桥吊,qc_id,桥吊编号,QC-16,blur|complex_bg|small_font
ENG-0012,data/images/ENG-0012.jpg,桥吊,rtg_id,龙门吊编号,RTG-04,blur|complex_bg|small_font
ENG-0012,data/images/ENG-0012.jpg,桥吊,yard_gate,堆场口,YARD-C4,blur|complex_bg|small_font
ENG-0012,data/images/ENG-0012.jpg,桥吊,work_area,作业区域,D-10,blur|complex_bg|small_font
ENG-0012,data/images/ENG-0012.jpg,桥吊,equipment_status,设备状态,维修中,blur|complex_bg|small_font
ENG-0012,data/images/ENG-0012.jpg,桥吊,date,日期,2026-06-13,blur|complex_bg|small_font
ENG-0013,data/images/ENG-0013.jpg,桥吊,qc_id,桥吊编号,QC-01,
ENG-0013,data/images/ENG-0013.jpg,桥吊,rtg_id,龙门吊编号,RTG-08,
ENG-0013,data/images/ENG-0013.jpg,桥吊,yard_gate,堆场口,YARD-H6,
ENG-0013,data/images/ENG-0013.jpg,桥吊,work_area,作业区域,C-07,
ENG-0013,data/images/ENG-0013.jpg,桥吊,equipment_status,设备状态,正常,
ENG-0013,data/images/ENG-0013.jpg,桥吊,date,日期,2026-06-14,
ENG-0014,data/images/ENG-0014.jpg,堆场口,qc_id,桥吊编号,QC-31,compression
ENG-0014,data/images/ENG-0014.jpg,堆场口,rtg_id,龙门吊编号,RTG-10,compression
ENG-0014,data/images/ENG-0014.jpg,堆场口,yard_gate,堆场口,YARD-B7,compression
ENG-0014,data/images/ENG-0014.jpg,堆场口,work_area,作业区域,B-12,compression
ENG-0014,data/images/ENG-0014.jpg,堆场口,equipment_status,设备状态,待检,compression
ENG-0014,data/images/ENG-0014.jpg,堆场口,date,日期,2026-06-15,compression
ENG-0015,data/images/ENG-0015.jpg,桥吊,qc_id,桥吊编号,QC-20,complex_bg
ENG-0015,data/images/ENG-0015.jpg,桥吊,rtg_id,龙门吊编号,RTG-22,complex_bg
ENG-0015,data/images/ENG-0015.jpg,桥吊,yard_gate,堆场口,YARD-C1,complex_bg
ENG-0015,data/images/ENG-0015.jpg,桥吊,work_area,作业区域,D-28,complex_bg
ENG-0015,data/images/ENG-0015.jpg,桥吊,equipment_status,设备状态,待检,complex_bg
ENG-0015,data/images/ENG-0015.jpg,桥吊,date,日期,2026-06-16,complex_bg
ENG-0016,data/images/ENG-0016.jpg,龙门吊,qc_id,桥吊编号,QC-24,occlusion
ENG-0016,data/images/ENG-0016.jpg,龙门吊,rtg_id,龙门吊编号,RTG-18,occlusion
ENG-0016,data/images/ENG-0016.jpg,龙门吊,yard_gate,堆场口,YARD-E6,occlusion
ENG-0016,data/images/ENG-0016.jpg,龙门吊,work_area,作业区域,D-22,occlusion
ENG-0016,data/images/ENG-0016.jpg,龙门吊,equipment_status,设备状态,停用,occlusion
ENG-0016,data/images/ENG-0016.jpg,龙门吊,date,日期,2026-06-17,occlusion
ENG-0017,data/images/ENG-0017.jpg,堆场口,qc_id,桥吊编号,QC-04,noise
ENG-0017,data/images/ENG-0017.jpg,堆场口,rtg_id,龙门吊编号,RTG-12,noise
ENG-0017,data/images/ENG-0017.jpg,堆场口,yard_gate,堆场口,YARD-H8,noise
ENG-0017,data/images/ENG-0017.jpg,堆场口,work_area,作业区域,B-15,noise
ENG-0017,data/images/ENG-0017.jpg,堆场口,equipment_status,设备状态,停用,noise
ENG-0017,data/images/ENG-0017.jpg,堆场口,date,日期,2026-06-18,noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,qc_id,桥吊编号,QC-31,occlusion|noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,rtg_id,龙门吊编号,RTG-03,occlusion|noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,yard_gate,堆场口,YARD-F1,occlusion|noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,work_area,作业区域,C-02,occlusion|noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,equipment_status,设备状态,待检,occlusion|noise
ENG-0018,data/images/ENG-0018.jpg,龙门吊,date,日期,2026-06-19,occlusion|noise
ENG-0019,data/images/ENG-0019.jpg,堆场口,qc_id,桥吊编号,QC-23,
ENG-0019,data/images/ENG-0019.jpg,堆场口,rtg_id,龙门吊编号,RTG-05,
ENG-0019,data/images/ENG-0019.jpg,堆场口,yard_gate,堆场口,YARD-H9,
ENG-0019,data/images/ENG-0019.jpg,堆场口,work_area,作业区域,C-19,
ENG-0019,data/images/ENG-0019.jpg,堆场口,equipment_status,设备状态,停用,
ENG-0019,data/images/ENG-0019.jpg,堆场口,date,日期,2026-06-20,
ENG-0020,data/images/ENG-0020.jpg,桥吊,qc_id,桥吊编号,QC-25,small_font
ENG-0020,data/images/ENG-0020.jpg,桥吊,rtg_id,龙门吊编号,RTG-25,small_font
ENG-0020,data/images/ENG-0020.jpg,桥吊,yard_gate,堆场口,YARD-B5,small_font
ENG-0020,data/images/ENG-0020.jpg,桥吊,work_area,作业区域,A-04,small_font
ENG-0020,data/images/ENG-0020.jpg,桥吊,equipment_status,设备状态,待检,small_font
ENG-0020,data/images/ENG-0020.jpg,桥吊,date,日期,2026-06-21,small_font
ENG-0021,data/images/ENG-0021.jpg,龙门吊,qc_id,桥吊编号,QC-15,
ENG-0021,data/images/ENG-0021.jpg,龙门吊,rtg_id,龙门吊编号,RTG-25,
ENG-0021,data/images/ENG-0021.jpg,龙门吊,yard_gate,堆场口,YARD-F4,
ENG-0021,data/images/ENG-0021.jpg,龙门吊,work_area,作业区域,C-03,
ENG-0021,data/images/ENG-0021.jpg,龙门吊,equipment_status,设备状态,停用,
ENG-0021,data/images/ENG-0021.jpg,龙门吊,date,日期,2026-06-22,
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,qc_id,桥吊编号,QC-27,occlusion
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-04,occlusion
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,yard_gate,堆场口,YARD-E1,occlusion
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,work_area,作业区域,A-02,occlusion
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,equipment_status,设备状态,正常,occlusion
ENG-0022,data/images/ENG-0022.jpg,混合作业牌,date,日期,2026-06-23,occlusion
ENG-0023,data/images/ENG-0023.jpg,龙门吊,qc_id,桥吊编号,QC-36,complex_bg|low_light
ENG-0023,data/images/ENG-0023.jpg,龙门吊,rtg_id,龙门吊编号,RTG-21,complex_bg|low_light
ENG-0023,data/images/ENG-0023.jpg,龙门吊,yard_gate,堆场口,YARD-E5,complex_bg|low_light
ENG-0023,data/images/ENG-0023.jpg,龙门吊,work_area,作业区域,C-14,complex_bg|low_light
ENG-0023,data/images/ENG-0023.jpg,龙门吊,equipment_status,设备状态,停用,complex_bg|low_light
ENG-0023,data/images/ENG-0023.jpg,龙门吊,date,日期,2026-06-24,complex_bg|low_light
ENG-0024,data/images/ENG-0024.jpg,堆场口,qc_id,桥吊编号,QC-04,
ENG-0024,data/images/ENG-0024.jpg,堆场口,rtg_id,龙门吊编号,RTG-22,
ENG-0024,data/images/ENG-0024.jpg,堆场口,yard_gate,堆场口,YARD-B9,
ENG-0024,data/images/ENG-0024.jpg,堆场口,work_area,作业区域,B-30,
ENG-0024,data/images/ENG-0024.jpg,堆场口,equipment_status,设备状态,停用,
ENG-0024,data/images/ENG-0024.jpg,堆场口,date,日期,2026-06-25,
ENG-0025,data/images/ENG-0025.jpg,堆场口,qc_id,桥吊编号,QC-27,small_font|compression
ENG-0025,data/images/ENG-0025.jpg,堆场口,rtg_id,龙门吊编号,RTG-02,small_font|compression
ENG-0025,data/images/ENG-0025.jpg,堆场口,yard_gate,堆场口,YARD-E2,small_font|compression
ENG-0025,data/images/ENG-0025.jpg,堆场口,work_area,作业区域,A-04,small_font|compression
ENG-0025,data/images/ENG-0025.jpg,堆场口,equipment_status,设备状态,维修中,small_font|compression
ENG-0025,data/images/ENG-0025.jpg,堆场口,date,日期,2026-06-26,small_font|compression
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,qc_id,桥吊编号,QC-12,
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-04,
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,yard_gate,堆场口,YARD-G6,
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,work_area,作业区域,A-20,
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,equipment_status,设备状态,维修中,
ENG-0026,data/images/ENG-0026.jpg,混合作业牌,date,日期,2026-06-27,
ENG-0027,data/images/ENG-0027.jpg,堆场口,qc_id,桥吊编号,QC-14,compression
ENG-0027,data/images/ENG-0027.jpg,堆场口,rtg_id,龙门吊编号,RTG-09,compression
ENG-0027,data/images/ENG-0027.jpg,堆场口,yard_gate,堆场口,YARD-F2,compression
ENG-0027,data/images/ENG-0027.jpg,堆场口,work_area,作业区域,B-10,compression
ENG-0027,data/images/ENG-0027.jpg,堆场口,equipment_status,设备状态,待检,compression
ENG-0027,data/images/ENG-0027.jpg,堆场口,date,日期,2026-06-28,compression
ENG-0028,data/images/ENG-0028.jpg,龙门吊,qc_id,桥吊编号,QC-15,tilt
ENG-0028,data/images/ENG-0028.jpg,龙门吊,rtg_id,龙门吊编号,RTG-21,tilt
ENG-0028,data/images/ENG-0028.jpg,龙门吊,yard_gate,堆场口,YARD-F3,tilt
ENG-0028,data/images/ENG-0028.jpg,龙门吊,work_area,作业区域,D-06,tilt
ENG-0028,data/images/ENG-0028.jpg,龙门吊,equipment_status,设备状态,维修中,tilt
ENG-0028,data/images/ENG-0028.jpg,龙门吊,date,日期,2026-06-29,tilt
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,qc_id,桥吊编号,QC-03,
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-18,
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,yard_gate,堆场口,YARD-A8,
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,work_area,作业区域,B-14,
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,equipment_status,设备状态,正常,
ENG-0029,data/images/ENG-0029.jpg,混合作业牌,date,日期,2026-06-30,
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,qc_id,桥吊编号,QC-33,low_light
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-04,low_light
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,yard_gate,堆场口,YARD-F8,low_light
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,work_area,作业区域,D-04,low_light
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,equipment_status,设备状态,维修中,low_light
ENG-0030,data/images/ENG-0030.jpg,混合作业牌,date,日期,2026-06-01,low_light
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,qc_id,桥吊编号,QC-32,blur|occlusion
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-21,blur|occlusion
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,yard_gate,堆场口,YARD-G7,blur|occlusion
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,work_area,作业区域,A-26,blur|occlusion
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,equipment_status,设备状态,待检,blur|occlusion
ENG-0031,data/images/ENG-0031.jpg,混合作业牌,date,日期,2026-06-02,blur|occlusion
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,qc_id,桥吊编号,QC-32,complex_bg
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-12,complex_bg
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,yard_gate,堆场口,YARD-G4,complex_bg
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,work_area,作业区域,D-27,complex_bg
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,equipment_status,设备状态,维修中,complex_bg
ENG-0032,data/images/ENG-0032.jpg,混合作业牌,date,日期,2026-06-03,complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,qc_id,桥吊编号,QC-33,small_font|tilt|complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,rtg_id,龙门吊编号,RTG-13,small_font|tilt|complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,yard_gate,堆场口,YARD-E4,small_font|tilt|complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,work_area,作业区域,B-14,small_font|tilt|complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,equipment_status,设备状态,待检,small_font|tilt|complex_bg
ENG-0033,data/images/ENG-0033.jpg,龙门吊,date,日期,2026-06-04,small_font|tilt|complex_bg
ENG-0034,data/images/ENG-0034.jpg,龙门吊,qc_id,桥吊编号,QC-22,low_light|small_font
ENG-0034,data/images/ENG-0034.jpg,龙门吊,rtg_id,龙门吊编号,RTG-22,low_light|small_font
ENG-0034,data/images/ENG-0034.jpg,龙门吊,yard_gate,堆场口,YARD-C4,low_light|small_font
ENG-0034,data/images/ENG-0034.jpg,龙门吊,work_area,作业区域,B-27,low_light|small_font
ENG-0034,data/images/ENG-0034.jpg,龙门吊,equipment_status,设备状态,维修中,low_light|small_font
ENG-0034,data/images/ENG-0034.jpg,龙门吊,date,日期,2026-06-05,low_light|small_font
ENG-0035,data/images/ENG-0035.jpg,堆场口,qc_id,桥吊编号,QC-18,noise|compression
ENG-0035,data/images/ENG-0035.jpg,堆场口,rtg_id,龙门吊编号,RTG-13,noise|compression
ENG-0035,data/images/ENG-0035.jpg,堆场口,yard_gate,堆场口,YARD-A6,noise|compression
ENG-0035,data/images/ENG-0035.jpg,堆场口,work_area,作业区域,D-04,noise|compression
ENG-0035,data/images/ENG-0035.jpg,堆场口,equipment_status,设备状态,停用,noise|compression
ENG-0035,data/images/ENG-0035.jpg,堆场口,date,日期,2026-06-06,noise|compression
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,qc_id,桥吊编号,QC-12,blur
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-05,blur
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,yard_gate,堆场口,YARD-E2,blur
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,work_area,作业区域,D-29,blur
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,equipment_status,设备状态,维修中,blur
ENG-0036,data/images/ENG-0036.jpg,混合作业牌,date,日期,2026-06-07,blur
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,qc_id,桥吊编号,QC-15,blur|compression
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-16,blur|compression
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,yard_gate,堆场口,YARD-A8,blur|compression
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,work_area,作业区域,C-01,blur|compression
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,equipment_status,设备状态,正常,blur|compression
ENG-0037,data/images/ENG-0037.jpg,混合作业牌,date,日期,2026-06-08,blur|compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,qc_id,桥吊编号,QC-10,compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,rtg_id,龙门吊编号,RTG-10,compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,yard_gate,堆场口,YARD-A2,compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,work_area,作业区域,C-29,compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,equipment_status,设备状态,维修中,compression
ENG-0038,data/images/ENG-0038.jpg,桥吊,date,日期,2026-06-09,compression
ENG-0039,data/images/ENG-0039.jpg,桥吊,qc_id,桥吊编号,QC-19,complex_bg|low_light
ENG-0039,data/images/ENG-0039.jpg,桥吊,rtg_id,龙门吊编号,RTG-13,complex_bg|low_light
ENG-0039,data/images/ENG-0039.jpg,桥吊,yard_gate,堆场口,YARD-G1,complex_bg|low_light
ENG-0039,data/images/ENG-0039.jpg,桥吊,work_area,作业区域,D-13,complex_bg|low_light
ENG-0039,data/images/ENG-0039.jpg,桥吊,equipment_status,设备状态,停用,complex_bg|low_light
ENG-0039,data/images/ENG-0039.jpg,桥吊,date,日期,2026-06-10,complex_bg|low_light
ENG-0040,data/images/ENG-0040.jpg,堆场口,qc_id,桥吊编号,QC-28,
ENG-0040,data/images/ENG-0040.jpg,堆场口,rtg_id,龙门吊编号,RTG-28,
ENG-0040,data/images/ENG-0040.jpg,堆场口,yard_gate,堆场口,YARD-C6,
ENG-0040,data/images/ENG-0040.jpg,堆场口,work_area,作业区域,C-16,
ENG-0040,data/images/ENG-0040.jpg,堆场口,equipment_status,设备状态,待检,
ENG-0040,data/images/ENG-0040.jpg,堆场口,date,日期,2026-06-11,
ENG-0041,data/images/ENG-0041.jpg,桥吊,qc_id,桥吊编号,QC-08,tilt
ENG-0041,data/images/ENG-0041.jpg,桥吊,rtg_id,龙门吊编号,RTG-11,tilt
ENG-0041,data/images/ENG-0041.jpg,桥吊,yard_gate,堆场口,YARD-G5,tilt
ENG-0041,data/images/ENG-0041.jpg,桥吊,work_area,作业区域,D-29,tilt
ENG-0041,data/images/ENG-0041.jpg,桥吊,equipment_status,设备状态,停用,tilt
ENG-0041,data/images/ENG-0041.jpg,桥吊,date,日期,2026-06-12,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,qc_id,桥吊编号,QC-02,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,rtg_id,龙门吊编号,RTG-02,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,yard_gate,堆场口,YARD-F9,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,work_area,作业区域,C-16,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,equipment_status,设备状态,停用,tilt
ENG-0042,data/images/ENG-0042.jpg,堆场口,date,日期,2026-06-13,tilt
ENG-0043,data/images/ENG-0043.jpg,堆场口,qc_id,桥吊编号,QC-10,complex_bg
ENG-0043,data/images/ENG-0043.jpg,堆场口,rtg_id,龙门吊编号,RTG-19,complex_bg
ENG-0043,data/images/ENG-0043.jpg,堆场口,yard_gate,堆场口,YARD-G9,complex_bg
ENG-0043,data/images/ENG-0043.jpg,堆场口,work_area,作业区域,C-03,complex_bg
ENG-0043,data/images/ENG-0043.jpg,堆场口,equipment_status,设备状态,维修中,complex_bg
ENG-0043,data/images/ENG-0043.jpg,堆场口,date,日期,2026-06-14,complex_bg
ENG-0044,data/images/ENG-0044.jpg,桥吊,qc_id,桥吊编号,QC-15,
ENG-0044,data/images/ENG-0044.jpg,桥吊,rtg_id,龙门吊编号,RTG-23,
ENG-0044,data/images/ENG-0044.jpg,桥吊,yard_gate,堆场口,YARD-E5,
ENG-0044,data/images/ENG-0044.jpg,桥吊,work_area,作业区域,B-04,
ENG-0044,data/images/ENG-0044.jpg,桥吊,equipment_status,设备状态,待检,
ENG-0044,data/images/ENG-0044.jpg,桥吊,date,日期,2026-06-15,
ENG-0045,data/images/ENG-0045.jpg,龙门吊,qc_id,桥吊编号,QC-16,small_font
ENG-0045,data/images/ENG-0045.jpg,龙门吊,rtg_id,龙门吊编号,RTG-16,small_font
ENG-0045,data/images/ENG-0045.jpg,龙门吊,yard_gate,堆场口,YARD-H1,small_font
ENG-0045,data/images/ENG-0045.jpg,龙门吊,work_area,作业区域,C-01,small_font
ENG-0045,data/images/ENG-0045.jpg,龙门吊,equipment_status,设备状态,维修中,small_font
ENG-0045,data/images/ENG-0045.jpg,龙门吊,date,日期,2026-06-16,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,qc_id,桥吊编号,QC-31,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,rtg_id,龙门吊编号,RTG-11,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,yard_gate,堆场口,YARD-G1,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,work_area,作业区域,D-06,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,equipment_status,设备状态,维修中,small_font
ENG-0046,data/images/ENG-0046.jpg,混合作业牌,date,日期,2026-06-17,small_font
ENG-0047,data/images/ENG-0047.jpg,堆场口,qc_id,桥吊编号,QC-28,tilt|low_light
ENG-0047,data/images/ENG-0047.jpg,堆场口,rtg_id,龙门吊编号,RTG-19,tilt|low_light
ENG-0047,data/images/ENG-0047.jpg,堆场口,yard_gate,堆场口,YARD-H3,tilt|low_light
ENG-0047,data/images/ENG-0047.jpg,堆场口,work_area,作业区域,A-27,tilt|low_light
ENG-0047,data/images/ENG-0047.jpg,堆场口,equipment_status,设备状态,停用,tilt|low_light
ENG-0047,data/images/ENG-0047.jpg,堆场口,date,日期,2026-06-18,tilt|low_light
ENG-0048,data/images/ENG-0048.jpg,堆场口,qc_id,桥吊编号,QC-28,tilt|small_font
ENG-0048,data/images/ENG-0048.jpg,堆场口,rtg_id,龙门吊编号,RTG-05,tilt|small_font
ENG-0048,data/images/ENG-0048.jpg,堆场口,yard_gate,堆场口,YARD-A5,tilt|small_font
ENG-0048,data/images/ENG-0048.jpg,堆场口,work_area,作业区域,D-14,tilt|small_font
